date,average_daily_flow_m3ps
2004-03-10,29.650595
2004-03-11,35.0382
2004-03-12,31.147379
2004-03-13,27.35179
2004-03-14,25.363654
2004-03-15,23.880843
2004-03-16,22.938462
2004-03-17,23.815704
2004-03-18,29.401777
2004-03-19,32.625736
2004-03-20,26.229535
2004-03-21,23.512617
2004-03-22,22.110039
2004-03-23,20.765179
2004-03-24,19.73665
2004-03-25,18.960205
2004-03-26,18.30435
2004-03-27,17.9108413
2004-03-28,23.448472
2004-03-29,20.494861
2004-03-30,18.502586
2004-03-31,17.470423
2004-04-01,16.874776
2004-04-02,17.370381
2004-04-03,25.600685
2004-04-09,82.69845
2004-04-10,48.257204
2004-04-11,41.357018
2004-04-12,32.282431
2004-04-13,28.710553
2004-04-14,26.140198
2004-04-20,19.563896
2004-04-21,18.924783
2004-04-22,18.213426
2004-04-23,17.59389
2004-04-24,17.1063
2004-04-25,16.871748
2004-04-26,16.55456
2004-04-27,18.664068
2004-04-28,20.124791
2004-04-29,20.151233
2004-04-30,18.742949
2004-05-01,20.829239
2004-05-02,34.044878
2004-05-03,26.890642
2004-05-04,33.794254
2004-05-05,54.63047
2004-05-06,176.81049
2004-05-07,134.2104
2004-05-08,87.001128
2004-05-09,55.788153
2004-05-10,43.398148
2004-05-11,38.912854
2004-05-12,84.786155
2004-05-13,280.37953
2004-05-14,115.224429
2004-05-15,77.60432
2004-05-16,60.380344
2004-05-17,50.661168
2004-05-18,44.20444
2004-05-19,39.787053
2004-05-20,36.780136
2004-05-21,34.398531
2004-05-22,39.160453
2004-05-23,46.134792
2004-05-24,36.858145
